date,model,mode,timestamp,level,project_id,pass,total,reason
20251024-1-python,codellama-13b,direct,20251027-124148,3,1,0,11,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,2,0,9,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,3,0,16,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,4,0,17,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,5,0,13,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,6,0,20,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,7,0,24,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,8,0,18,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,9,0,13,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,10,0,21,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,11,0,8,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,12,0,18,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,13,0,25,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,14,0,5,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,15,0,3,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,16,1,9,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,17,1,6,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,18,0,14,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,19,1,8,N/A
20251024-1-python,codellama-13b,direct,20251027-124148,3,20,0,26,N/A
20251024-1-python,codellama-34b,direct,20251027-120902,3,1,0,11,N/A
20251024-1-python,codellama-34b,direct,20251027-120902,3,2,0,9,N/A
20251024-1-python,codellama-34b,direct,20251027-120902,3,3,0,16,N/A
20251024-1-python,codellama-34b,direct,20251027-120902,3,4,0,17,N/A
20251024-1-python,codellama-34b,direct,20251027-120902,3,5,0,13,N/A
20251024-1-python,codellama-34b,direct,20251027-120902,3,6,0,20,N/A
20251024-1-python,codellama-34b,direct,20251027-120902,3,7,0,24,N/A
20251024-1-python,codellama-34b,direct,20251027-120902,3,8,0,18,N/A
