date,model,mode,timestamp,level,checklist,skeleton,code,parameter
20251020-1,codellama-13b,direct,20251021-023829,3,None,None,3.5999999999999996%,2.31%
20251020-1,deepseek-coder-33b,direct,20251021-025511,3,None,None,12.6%,11.39%
20251020-1,deepseek-coder-6.7b,direct,20251021-031911,3,None,None,4.3999999999999995%,0.0%
20251020-1,gemma3-12b,cascade,20251020-214045,1,62.150000000000006%,20.14%,19.73%,47.54%
20251020-1,gemma3-12b,cascade,20251020-222603,2,None,22.63%,18.54%,38.36%
20251020-1,gemma3-12b,direct,20251021-170829,1,None,None,16.78%,38.11%
20251020-1,gemma3-12b,direct,20251021-171901,2,None,None,9.75%,19.38%
20251020-1,gemma3-12b,direct,20251021-172956,3,None,None,24.94%,47.77%
20251020-1,gemma3-27b,cascade,20251020-234444,1,65.25%,20.29%,23.52%,54.98%
20251020-1,gemma3-27b,cascade,20251021-020650,2,None,21.73%,24.42%,50.49%
20251020-1,gemma3-27b,direct,20251021-175635,1,None,None,22.28%,50.42%
20251020-1,gemma3-27b,direct,20251021-190720,2,None,None,24.990000000000002%,46.69%
20251020-1,gemma3-27b,direct,20251021-200238,3,None,None,25.55%,42.32%
20251020-1,gpt-oss-20b,cascade,20251020-165124,1,57.31%,15.7%,22.52%,49.47%
20251020-1,gpt-oss-20b,cascade,20251020-174636,2,None,19.919999999999998%,18.709999999999997%,26.36%
20251020-1,gpt-oss-20b,direct,20251021-152301,1,None,None,17.49%,24.62%
20251020-1,gpt-oss-20b,direct,20251021-154018,2,None,None,26.97%,30.580000000000002%
20251020-1,gpt-oss-20b,direct,20251021-161357,3,None,None,21.95%,29.060000000000002%
20251020-1,llama3.1-8b,cascade,20251020-202744,1,4.130000000000001%,4.04%,9.29%,0.0%
20251020-1,llama3.1-8b,cascade,20251020-210501,2,None,3.46%,9.53%,3.8%
20251020-1,llama3.1-8b,direct,20251021-015727,1,None,None,4.79%,0.0%
20251020-1,llama3.1-8b,direct,20251021-020411,2,None,None,16.17%,1.11%
20251020-1,llama3.1-8b,direct,20251021-022110,3,None,None,5.58%,2.06%
20251020-1,llama3.3-70b,cascade,20251020-165147,1,49.19%,18.37%,25.25%,48.25%
20251020-1,llama3.3-70b,cascade,20251020-181934,2,None,21.01%,27.87%,46.7%
20251020-1,llama3.3-70b,direct,20251020-221221,1,None,None,20.54%,35.93%
20251020-1,llama3.3-70b,direct,20251020-230128,2,None,None,24.97%,49.65%
20251020-1,llama3.3-70b,direct,20251021-002457,3,None,None,28.92%,53.959999999999994%
20251020-1,phi4-14b,cascade,20251021-131225,1,38.06%,10.09%,13.930000000000001%,16.63%
20251020-1,phi4-14b,cascade,20251021-142018,2,None,11.87%,17.599999999999998%,37.230000000000004%
20251020-1,phi4-14b,direct,20251021-234154,1,None,None,22.49%,39.35%
20251020-1,phi4-14b,direct,20251021-235733,2,None,None,29.04%,43.63%
20251020-1,phi4-14b,direct,20251022-001414,3,None,None,27.51%,40.81%
20251020-1,qwen2.5-coder-14b,direct,20251022-005824,3,None,None,22.2%,51.839999999999996%
20251020-1,qwen2.5-coder-32b,direct,20251022-003048,3,None,None,32.53%,37.99%
20251020-1,qwen3-14b,cascade,20251021-042928,1,57.64%,17.669999999999998%,19.71%,34.489999999999995%
20251020-1,qwen3-14b,cascade,20251021-070105,2,None,19.35%,14.77%,22.6%
20251020-1,qwen3-14b,direct,20251021-210247,1,None,None,11.21%,16.76%
20251020-1,qwen3-14b,direct,20251021-211834,2,None,None,5.9799999999999995%,14.63%
20251020-1,qwen3-14b,direct,20251021-213643,3,None,None,10.83%,13.450000000000001%
20251020-1,qwen3-30b,cascade,20251021-093719,1,35.89%,13.91%,13.91%,33.09%
20251020-1,qwen3-30b,cascade,20251021-110129,2,None,17.34%,20.599999999999998%,31.81%
20251020-1,qwen3-30b,direct,20251021-215732,1,None,None,8.48%,28.249999999999996%
20251020-1,qwen3-30b,direct,20251021-222933,2,None,None,12.83%,20.93%
20251020-1,qwen3-30b,direct,20251021-230302,3,None,None,17.72%,18.88%
